"^ET(\S+) TOSHIBA e-STUDIO500S FTP Server (\S+) ready\.$" ::DELIM::  "Toshiba Printer"
"^\S+ TOSHIBA e-STUDIO500S FTP Server (\S+) ready\.$" ::DELIM::  "Toshiba Printer"
"^.*Lexmark Optra (\S+) FTP Server (\S+) ready\.$" ::DELIM::  "Lexmark Optra Printer"
"^SHARP (MX-\S+) Ver (\S+) FTP server\.$" ::DELIM::  "Sharp Printer/Copier/Scanne"
"^(FS-\S+MFP\S*?) FTP server\.?$" ::DELIM::  "Kyocera Printers"
"^(FS-\S+(?:DN|D|N)) FTP server\.?$" ::DELIM::  "Kyocera Printers"
"^(ESI-\S+) Version (\S+) ready\.$" ::DELIM::  "Extended Systems ExtendNet Print Server"
"^SATO SATO PRINTER Ver (\S+) FTP server\.$" ::DELIM::  "SATO Printer"
"^Printer FTP (\d+\.\d+\.\d+) ready at (\w{3} \d{2} \d{2}:\d{2}:\d{2})$" ::DELIM::  "AMTDatasouth Fastmark M5"
"^EFI FTP Print server ready\.$" certainty="0.8" ::DELIM::  "EFI FTP Print Server"
"^SHARP (AR-\S+) Ver (\S+) FTP server" ::DELIM::  "Sharp AR Series multifunction device"
"^KONICA MINOLTA FTP server ready\.?$" ::DELIM::  "Konica Minolta FTP Server"
"^(KM\S+) FTP server \(KM FTPD version (\d*(?:\.\d*))\) ready\.?$" ::DELIM::  "Konica Minolta FTP Server"
"^(ZBR-\d+) Version (\S+) ready\.?$" ::DELIM::  "ZebraNet Print Server FTP"
"^(\S+) FTP server \(Version \S+ \w+ \w+ \d{1,2} \d{1,2}:\d{1,2}:\d{1,2} [A-Z]+ (?:1|2)\d{3}\) ready\.?$" ::DELIM::  "Generic/unknown FTP Server found on HP-UX and AIX systems"
"^Welcome to the (?:Cisco )?(?:TelePresence) ([a-zA-Z\s]*?) ((?:MSE )?\d+), version (\d+.\d+\(\d+.\d+\)).*?" ::DELIM::  "Cisco TelePresence"
"^(\S+) FTP server \((?:HP|Compaq) Tru64 UNIX Version (\S+)\) ready\.?$" ::DELIM::  "Digital/Compaq/HP Tru64 Unix"
"^(\S+) FTP server \(Digital UNIX Version (\S+)\) ready\.?$" ::DELIM::  "Digital/Compaq/HP Tru64 Unix"
"^(\S+) FTP server \(MikroTik ([\d\.]+)\) ready\.?$" ::DELIM::  "MikroTik"
"^MikroTik FTP server \(MikroTik ([\w.]+)\) ready\.?$" ::DELIM::  "MikroTik w/o hostname"
"^Welcome to ASUS (B?RT-[\w.-]+) FTP service\.$" ::DELIM::  "FTPD on an Asus Wireless Access Point/Router"
"^Welcome to ASUS (DSL-[\w.-]+) FTP service\.$" ::DELIM::  "FTPD on a ADSL/VDSL Modem/Wireless Access Point/Router"
"^Welcome to ASUS (TM-\w+) FTP service\.$" ::DELIM::  "FTPD on a T-Mobile branded Asus Wireless Access Point/Router"
"^(FRITZ!Box[\w()]+) FTP server ready\.$" ::DELIM::  "FTPD on an AWM multifunction Modem/Wireless Access Point/Router/VoIP device"
"^HES_CPE FTP server \(GNU inetutils ([\w.]+)\) ready\.$" ::DELIM::  "FTPD on a ZyXEL (Huawei rebrand) WiMax WAP"
"^Speedport W ?(\S+) (?:Typ [A|B] )?FTP Server v([\d.]+) ready$$" ::DELIM::  "FTPD on Speedport WLAN/ADSL routers (Deutsche Telekom mfg by misc)"
"^DiskStation FTP server ready\.$" ::DELIM::  "FTPD on a Synology DiskStation NAS"
"^Synology FTP server ready\.$" ::DELIM::  "FTPD on a Synology device"
"^.Welcome to MyBookLive.$" ::DELIM::  "FTPD on Western Digital My Book Live NAS"
"^Multicraft ([\w.-]+) FTP server$" ::DELIM::  "Multicraft FTPD Server"
"^bftpd ([\d.]+) at ([[a-f\d].:]+) ready\.$" ::DELIM::  "Bftpd FTPD Server"
"^NASFTPD Turbo station (?:2.x )?([\w.]+) Server \(ProFTPD\) \[([[a-f\d].:]+)\]$" ::DELIM::  "ProFTPD on QNAP Turbo Station NAS"
